RandomSeed,Nr. Cluster,Eps,Linkage,Threshold,Max. Iter,Min Samples,ID,Dataset,Cluster,Time Taken (seg),Accuracy Score,Purity Score,Adjusted Rand Index,Jaccard Score
,1,0.1,,,,,162,Handwritten,DBScan,0.10434150695800781,0.10177935943060498,0.10177935943060498,0.0,0.0536182977127859
,1,,Ward,,,,163,Handwritten,Agglomerative Clustering - Ward,1.1854808330535889,0.8088967971530249,0.808896797153025,0.7170053622914748,0.6791156259336719
10,1,,,,,,164,Handwritten,Spectral Clustering,5.263440847396851,0.7179715302491103,0.7179715302491104,0.5566102680046868,0.5600277585010409
,1,,,0.1,,,165,Handwritten,Birch,1.714871883392334,0.8647686832740213,0.8647686832740213,0.7960075468197998,0.7617554858934169
,,,,,100,,166,Handwritten,Mean Shift,90.59804797172546,0.10177935943060498,0.10177935943060498,0.0,0.0536182977127859
10,,,,,100,,167,Handwritten,Affinity Propagation,27.826573848724365,0.9754448398576513,0.9754448398576513,0.9463718044629227,0.9520666898228551
,,0.1,,,,0.1,168,Handwritten,Optics,20.915892362594604,0.10177935943060498,0.10177935943060498,0.0,0.0536182977127859
57,1.5,,,,150,,169,Handwritten,K-means,0.0252535343170166,0.8891459074733096,0.8891459074733097,0.7834846456217017,0.8004164664424155
,1.5,0.5,,,,,170,Handwritten,DBScan,0.08343744277954102,0.10177935943060498,0.10177935943060498,0.0,0.0536182977127859
,1.5,,Complete,,,,171,Handwritten,Agglomerative Clustering - Complete,1.05356764793396,0.7473309608540926,0.7473309608540926,0.6044660379507295,0.5965909090909091
57,1.5,,,,,,172,Handwritten,Spectral Clustering,5.064807176589966,0.847508896797153,0.8475088967971531,0.7546345281458378,0.7353713138798826
,1.5,,,0.5,,,173,Handwritten,Birch,1.1256132125854492,0.9263345195729538,0.9263345195729538,0.8512725538421225,0.8627775936360623
,,,,,150,,174,Handwritten,Mean Shift,91.00613760948181,0.10177935943060498,0.10177935943060498,0.0,0.0536182977127859
57,,,,,150,,175,Handwritten,Affinity Propagation,26.431616067886353,0.9754448398576513,0.9754448398576513,0.9463718044629227,0.9520666898228551
,,0.5,,,,0.3,176,Handwritten,Optics,21.607630729675293,0.10177935943060498,0.10177935943060498,0.0,0.0536182977127859
965,2,,,,300,,177,Handwritten,K-means,0.03646278381347656,0.9094306049822064,0.9094306049822064,0.8111282382105306,0.8339043889704683
,2,1.0,,,,,178,Handwritten,DBScan,0.08565545082092285,0.5250889679715303,0.5250889679715304,0.15193319681867892,0.35601399445047655
,2,,Average,,,,179,Handwritten,Agglomerative Clustering - Average,1.089773416519165,0.7991103202846975,0.7991103202846975,0.6780829622204797,0.6654319158393837
965,2,,,,,,180,Handwritten,Spectral Clustering,5.37520432472229,0.9016014234875445,0.9016014234875448,0.7955264909470462,0.8208326583508829
,2,,,1.0,,,181,Handwritten,Birch,0.26349377632141113,0.9083629893238434,0.9083629893238435,0.8163848484131477,0.8321108394458028
,,,,,300,,182,Handwritten,Mean Shift,90.44149613380432,0.10177935943060498,0.10177935943060498,0.0,0.0536182977127859
965,,,,,300,,183,Handwritten,Affinity Propagation,26.58290123939514,0.9752669039145907,0.9752669039145908,0.9459892015961029,0.9517277305087689
,,1.0,,,,0.5,184,Handwritten,Optics,21.902170419692993,0.10177935943060498,0.10177935943060498,0.0,0.0536182977127859
7821,3,,,,500,,185,Handwritten,K-means,0.057006120681762695,0.9362989323843416,0.9362989323843417,0.8642891389623313,0.8802275008364001
,3,1.5,,,,,186,Handwritten,DBScan,0.10934925079345703,0.20480427046263344,0.20480427046263347,0.04727773899463503,0.11408464664486075
,3,,Single,,,,187,Handwritten,Agglomerative Clustering - Single,0.9252042770385742,0.10729537366548042,0.10729537366548042,1.3342761185224845e-05,0.056688916047757824
7821,3,,,,,,188,Handwritten,Spectral Clustering,5.97155237197876,0.9085409252669039,0.908540925266904,0.8095541709953712,0.8324095207042713
,3,,,1.5,,,189,Handwritten,Birch,0.11885380744934082,0.9128113879003559,0.9128113879003558,0.8200818643312491,0.839607201309329
,,,,,500,,190,Handwritten,Mean Shift,87.0902316570282,0.10177935943060498,0.10177935943060498,0.0,0.0536182977127859
7821,,,,,500,,191,Handwritten,Affinity Propagation,25.67344880104065,0.9752669039145907,0.9752669039145908,0.9459892015961029,0.9517277305087689
,,1.5,,,,0.8,192,Handwritten,Optics,21.042274236679077,0.10177935943060498,0.10177935943060498,0.0,0.0536182977127859
10,1,,,,100,,193,Pen-Based,K-means,0.01993274688720703,0.7076965065502183,0.7076965065502183,0.5456719220390773,0.5476240760295671
,1,0.1,,,,,194,Pen-Based,DBScan,0.13316941261291504,0.10653202328966521,0.10653202328966521,-1.859760380624922e-05,0.056262912602700235
,1,,Ward,,,,195,Pen-Based,Agglomerative Clustering - Ward,3.624629020690918,0.7200691411935953,0.7200691411935956,0.5659968364210352,0.5625844054303788
10,1,,,,,,196,Pen-Based,Spectral Clustering,17.531628608703613,0.681495633187773,0.6814956331877728,0.5316674027781239,0.5168702132063755
